record_id,question,anchor,answerchoice_a,answerchoice_b,answerchoice_c,answerchoice_d,answerchoice_e,correct_answer,answer_explanation,age,subject
53FE4B90,"A 2-year-old boy is brought to the emergency department by his parents with a 2-day history of fever, cough, and increased work of breathing. His parents report that he has been refusing to eat and has been more lethargic than usual. On examination, the boy appears ill and has a temperature of 39.2°C (102.6°F). His respiratory rate is 44/min and oxygen saturation is 92% on room air. Auscultation of the chest reveals decreased breath sounds on the right side. A chest x-ray shows a right-sided consolidation.",What is the appropriate treatment?,Intravenous ceftriaxone,Intravenous vancomycin,Oral amoxicillin,Inhaled albuterol,Intravenous azithromycin,a,"This child's fever, cough, tachypnea, hypoxia, and decreased breath sounds with consolidation on chest x-ray are consistent with lobar pneumonia, most commonly caused by Streptococcus pneumoniae. In a child this age with severe disease (eg, hypoxia, respiratory distress), the appropriate treatment is hospitalization for administration of intravenous antibiotics. Ceftriaxone or cefotaxime is recommended due to increasing resistance of S pneumoniae to macrolides.",2.0,12
EF21787A,"A 3-year-old boy is brought to the emergency department by his parents due to a 2-day history of vomiting and lethargy. His parents also report that he has been drinking more water than usual and urinating frequently. On examination, the boy appears dehydrated. His blood glucose level is found to be significantly elevated. Urinalysis shows glucose and ketones. The boy is diagnosed with type 1 diabetes mellitus.",What is the expected prognosis?,"Poor, with a high likelihood of early death.","Good, with proper management and lifestyle modifications.","Variable, depending on the severity of the disease.","Excellent, with no long-term complications expected.","Uncertain, as the disease course is unpredictable.",b,"The prognosis for children with type 1 diabetes mellitus is generally good with proper management, which includes insulin therapy, regular blood glucose monitoring, and lifestyle modifications such as a healthy diet and regular exercise. While the disease does require lifelong management and can lead to complications if not well controlled, most children with type 1 diabetes are able to lead normal, healthy lives.",3.0,13
3F6A12D0,"A 6-year-old boy is brought to the pediatric inpatient ward by his parents. They report that he has been experiencing frequent headaches and vomiting for the past two weeks. His parents also noticed that he has been stumbling and losing his balance frequently. On physical examination, the boy has nystagmus and ataxic gait. An MRI of the brain reveals a mass in the posterior fossa.",What is the most likely diagnosis?,Meningioma,Glioblastoma,Medulloblastoma,Pituitary adenoma,Acoustic neuroma,c,"The patient's age, symptoms of increased intracranial pressure (headache, vomiting), cerebellar signs (ataxia, nystagmus), and location of the tumor in the posterior fossa are classic for medulloblastoma, the most common malignant brain tumor in children. Meningioma and glioblastoma are more common in adults. Pituitary adenomas typically present with hormonal abnormalities or visual field defects. Acoustic neuromas typically present with unilateral hearing loss and tinnitus.",6.0,14
05EDB971,"A 2-week-old male infant is brought to the emergency department by his parents. They report that he has been feeding poorly and has had several episodes of projectile vomiting after feeds over the past 24 hours. On examination, the infant appears dehydrated with dry mucous membranes and decreased skin turgor. His abdomen is soft and non-distended, but a small, olive-like mass can be palpated in the right upper quadrant. An ultrasound of the abdomen shows hypertrophy of the pyloric muscle. Laboratory studies show hypochloremic, hypokalemic metabolic alkalosis.",What is the next best step in management?,Administer intravenous fluids and electrolytes,Start the infant on a proton pump inhibitor,Perform an upper gastrointestinal series,Start the infant on an H2 receptor antagonist,Perform a barium enema,a,"This infant's presentation is consistent with hypertrophic pyloric stenosis, a condition that typically presents in the first few weeks of life with progressive, non-bilious, projectile vomiting immediately after feeds. The 'olive-like' mass in the right upper quadrant is the hypertrophied pylorus. The vomiting can lead to significant fluid and electrolyte imbalances, as seen in this infant. The first step in management is to correct these imbalances with intravenous fluids and electrolytes. The definitive treatment is surgical pyloromyotomy, but this should only be performed once the infant is adequately rehydrated and the electrolyte imbalances have been corrected.",0.038,15
0D686278,"A 4-year-old boy is brought to the emergency department by his parents. They report that he has had a fever for the past 3 days, which has been as high as 102°F at home. He has also been complaining of pain in his right leg, and they have noticed that he has been limping. On examination, the boy appears ill and has a temperature of 101.5°F. His right hip is tender to palpation and he resists passive movement of the hip joint. Laboratory studies show a white blood cell count of 14,000/mm3 and a C-reactive protein level of 4.5 mg/dL.",What is the appropriate treatment?,Intravenous antibiotics and surgical drainage,Oral antibiotics and rest,Intravenous fluids and antipyretics,Surgical intervention and physical therapy,Pain management and observation,a,"This child's fever, limp, and refusal to move the right hip, along with elevated inflammatory markers, are concerning for septic arthritis of the hip, a surgical emergency. The most common pathogen is Staphylococcus aureus. Treatment involves intravenous antibiotics and surgical drainage to prevent joint destruction.",4.0,16
443AF648,"A 4-year-old boy is admitted to the pediatric ICU with a 2-week history of fatigue, pallor, and bruising. His mother reports that he has been increasingly tired, often napping during the day, which is unusual for him. On examination, he is pale and has multiple ecchymoses on his legs and arms. His spleen is palpable 3 cm below the left costal margin. Laboratory studies show a hemoglobin of 7 g/dL, white blood cell count of 3,000/mm3, and platelet count of 20,000/mm3. A bone marrow biopsy is performed and shows a hypocellular marrow with increased fat content.",What is the underlying pathophysiology?,Decreased production of erythropoietin,Autoimmune destruction of hematopoietic stem cells,Infiltration of the bone marrow by malignant cells,Deficiency of intrinsic factor leading to vitamin B12 deficiency,Inherited defect in hemoglobin synthesis,b,"This patient's fatigue, pallor, bruising, and pancytopenia with a hypocellular bone marrow are suggestive of aplastic anemia, a condition characterized by the autoimmune destruction of hematopoietic stem cells. This leads to a decrease in all three cell lines (erythrocytes, leukocytes, and thrombocytes). The other options listed do not account for the pancytopenia observed in this patient.",4.0,17
BF9266B8,"A 6-year-old boy is brought to the emergency department by his parents after he complained of sudden vision loss in his right eye. The parents report that he was playing in the backyard when he suddenly started crying and said he couldn't see from his right eye. There is no history of trauma, fever, or recent illness. On examination, the right pupil is dilated and non-reactive to light. The left eye appears normal. Fundoscopy reveals a pale, swollen optic disc in the right eye.",What is the expected prognosis?,Complete recovery with no residual effects,Partial recovery with some residual visual impairment,Complete recovery with some residual visual impairment,"No recovery, complete loss of vision in the affected eye","Variable, depending on the underlying cause",e,"The child's symptoms are suggestive of acute optic neuritis, a condition that can have various causes including viral infections, autoimmune diseases, or demyelinating diseases such as multiple sclerosis. The prognosis is variable and depends on the underlying cause. While some patients may recover completely, others may have residual visual impairment or may not recover vision in the affected eye.",6.0,18
1C0B8547,"A 7-year-old boy is brought to the pediatrician's office by his mother, who reports that he has been complaining of pain in his right elbow for the past two days. The pain started after he fell off his bicycle onto an outstretched hand. He has been holding his arm slightly flexed and pronated. On physical examination, there is tenderness over the lateral aspect of the elbow. An X-ray of the elbow shows a posterior fat pad but no visible fracture.",What is the appropriate treatment?,Casting in flexion and pronation,Casting in extension and supination,Surgical intervention,Physical therapy,Observation and pain management,a,"This patient's history and physical examination are consistent with a supracondylar fracture of the humerus, a common pediatric elbow injury often resulting from a fall on an outstretched hand. The classic presentation is a child with an elbow held in slight flexion and pronation due to pain. X-rays may not show a visible fracture but may reveal a posterior fat pad sign, which is indicative of an intra-articular fracture. The appropriate treatment is immediate immobilization in a long arm cast in a position of comfort, typically slight flexion and pronation, followed by orthopedic referral.",7.0,19
B61BB5DB,"A 4-year-old boy is brought to the emergency department by his parents. They report that he has been complaining of abdominal pain and has had decreased urine output over the past two days. His parents also note that he has been more tired than usual. On physical examination, his blood pressure is elevated. Laboratory studies show elevated serum creatinine and decreased glomerular filtration rate. Urinalysis reveals red blood cell casts.",What is the underlying pathophysiology?,Acute tubular necrosis,Glomerulonephritis,Polycystic kidney disease,Renal artery stenosis,Urinary tract infection,b,"The patient's symptoms of decreased urine output, fatigue, and hypertension, along with laboratory findings of elevated serum creatinine, decreased glomerular filtration rate, and red blood cell casts in the urine, are indicative of glomerulonephritis. Acute tubular necrosis would present with muddy brown casts in the urine. Polycystic kidney disease is typically asymptomatic in early childhood. Renal artery stenosis would not typically present with red blood cell casts. Urinary tract infection would present with white blood cell casts and positive urine culture.",4.0,20
8A79FFC2,A 3-year-old boy is brought to the emergency department by his parents after accidentally ingesting a bottle of his grandmother's iron supplements. He appears lethargic and is complaining of abdominal pain. His skin is pale and he has vomited twice since ingestion. His heart rate is elevated and his blood pressure is slightly low. His parents report that he ingested the pills about 2 hours ago.,What is the underlying pathophysiology?,Hypovolemic shock due to blood loss,Anaphylactic reaction to the iron supplements,Iron-induced oxidative damage to the gastrointestinal tract,Hypoglycemia due to insulin surge,Acute renal failure due to nephrotoxicity,c,"Iron poisoning, as in this case, initially causes gastrointestinal symptoms such as vomiting and abdominal pain due to direct corrosive effects and the generation of reactive oxygen species. This leads to iron-induced oxidative damage to the gastrointestinal tract, which is the underlying pathophysiology in this case. The other options are not consistent with the clinical presentation and the known effects of iron overdose.",3.0,21
F789A4C3,"A 2-year-old boy is admitted to the pediatric ward with a 2-day history of fever, cough, and increased work of breathing. On examination, he has decreased breath sounds on the right side, and his oxygen saturation is 92% on room air. His temperature is 38.5°C, heart rate is 130/min, and respiratory rate is 40/min. Chest x-ray shows a right-sided pleural effusion. Thoracentesis reveals purulent fluid with gram-positive cocci in clusters. Blood cultures are pending.",What is the appropriate treatment?,Intravenous ceftriaxone,Intravenous vancomycin and ceftriaxone,Intravenous vancomycin and clindamycin,Intravenous ampicillin and gentamicin,Intravenous azithromycin,c,"This child has empyema (ie, infected pleural fluid), likely secondary to pneumonia. Empyema typically occurs when bacteria in the alveoli invade the pleural space, causing an inflammatory response. The most common pathogens are Streptococcus pneumoniae and Staphylococcus aureus, including methicillin-resistant S aureus (MRSA). Treatment of empyema requires both antibiotics and drainage of the infected fluid. Antibiotic therapy should include coverage for MRSA (eg, vancomycin or clindamycin) and Streptococcus pneumoniae (eg, ceftriaxone or cefotaxime).",2.0,22
