record_id,question,anchor,answerchoice_a,answerchoice_b,answerchoice_c,answerchoice_d,answerchoice_e,correct_answer,answer_explanation,age,subject,shelf_image,student_assessment_shelf_complete
3A7CARA4,"A 6-month-old boy is referred for evaluation of a new heart murmur. He has no history of feeding difficulties or cyanosis, but parents report poor weight gain. On auscultation, there is a continuous murmur at the left mid-clavicular line. An echocardiogram shows abnormal origin of the left coronary artery from the pulmonary artery.","What is the most likely diagnosis?","Ventricular septal defect","Patent ductus arteriosus","Coarctation of the aorta","Anomalous left coronary artery from the pulmonary artery (ALCAPA)","Tetralogy of Fallot",d,"ALCAPA is a rare congenital anomaly that presents with signs of heart failure in infancy. Murmurs are often continuous, and echocardiogram confirms diagnosis. This is a surgical emergency due to risk of myocardial ischemia and death.",0.5,2,,0
3D5WBYJP,"A 15-year-old girl is brought to the clinic by her parents due to concern over significant weight loss. Over the past 4 months, she has lost 9 kg and now has a BMI of 16. She reports feeling cold all the time and denies binge eating or purging. On physical exam, she has dry skin, lanugo on her arms, and mild hypotension. She also reports that her menstrual periods have stopped for the last two cycles.","Which of the following is the most likely cardiac finding in this patient?","Mitral valve prolapse","Sinus tachycardia","Prolonged QT interval","Hypertrophic cardiomyopathy","Premature atrial contractions",c,"Patients with anorexia nervosa are at risk for electrolyte abnormalities, volume depletion, and bradyarrhythmias. A prolonged QT interval can occur due to hypokalemia and is a life-threatening complication, often requiring cardiac monitoring.",15,1,,0
3F6A12D0,"A 6-year-old boy is brought to the pediatric inpatient ward by his parents. They report that he has been experiencing frequent headaches and vomiting for the past two weeks. His parents also noticed that he has been stumbling and losing his balance frequently. On physical examination, the boy has nystagmus and ataxic gait. An MRI of the brain reveals a mass in the posterior fossa.","What is the most likely diagnosis?",Meningioma,Glioblastoma,Medulloblastoma,"Pituitary adenoma","Acoustic neuroma",c,"The patient's age, symptoms of increased intracranial pressure (headache, vomiting), cerebellar signs (ataxia, nystagmus), and location of the tumor in the posterior fossa are classic for medulloblastoma, the most common malignant brain tumor in children. Meningioma and glioblastoma are more common in adults. Pituitary adenomas typically present with hormonal abnormalities or visual field defects. Acoustic neuromas typically present with unilateral hearing loss and tinnitus.",6.0,14,,0
3MY444ZU,"A 3-week-old infant is brought to the ED for lethargy and poor feeding. History reveals exclusive formula feeding with unclear mixing instructions. Vital signs are stable. Labs reveal a sodium level of 160 mEq/L. Head ultrasound shows an intraventricular hemorrhage. There are no signs of trauma on exam. Birth history was unremarkable.","What is the most likely pathophysiologic mechanism of this infant's intracranial bleeding?","Cortical vessel aneurysm rupture","Coagulopathy due to vitamin K deficiency","Bridging vein rupture due to hypernatremia-induced brain shrinkage","Direct trauma during delivery","Infective vasculitis",c,"Severe hypernatremia from improper formula mixing causes osmotic shifts that shrink the brain, leading to tension on bridging veins. This predisposes to intracranial hemorrhage, particularly in neonates with vulnerable vasculature.",0.05,14,,0
4D9AVC8U,"A 2-week-old newborn presents with nasal congestion, poor feeding, and intermittent episodes of cyanosis, especially during feeding. The infant appears well between episodes. Pulse oximetry is mildly decreased. A nasogastric tube cannot be passed through one nostril.","What is the most likely diagnosis?","Transient tachypnea of the newborn","Choanal atresia",Laryngomalacia,Bronchiolitis,Tracheomalacia,b,"Choanal atresia is a congenital obstruction of the posterior nasal passage. Newborns are obligate nasal breathers, so bilateral atresia causes cyanosis relieved by crying. Diagnosis is suggested by inability to pass a catheter through the nostril.",0.04,22,,0
4DR1M13G,"A 6-week-old infant is brought to the emergency department for a 1-day history of fever and decreased feeding. She has no cough, vomiting, or diarrhea. On exam, her temperature is 38.5Â°C (101.3Â°F), heart rate is 180 bpm, and she appears irritable. There are no focal findings. A full sepsis workup is initiated.","Which of the following pathogens is most likely in this age group?","Neisseria meningitidis","Escherichia coli","Streptococcus pneumoniae","Haemophilus influenzae type B","Mycoplasma pneumoniae",b,"In infants <2 months old, the most common pathogens for serious bacterial infections include group B Streptococcus, E. coli, and Listeria monocytogenes. E. coli is a frequent cause of UTI and bacteremia in this age group.",0.12,12,,0
4ECF4793,"A 3-year-old boy is brought to the emergency department by his parents with a 2-day history of vomiting and diarrhea. His parents report that he has been unable to keep down any food or drink. On examination, the boy appears lethargic and his skin turgor is poor. His heart rate is 130 beats per minute and his blood pressure is 90/60 mmHg. Laboratory studies show a serum sodium level of 150 mEq/L and a serum potassium level of 3.0 mEq/L.","What is the underlying pathophysiology?","Increased intracellular sodium concentration","Decreased extracellular potassium concentration","Increased extracellular sodium concentration","Decreased intracellular potassium concentration","Increased intracellular potassium concentration",c,"This child's clinical presentation is consistent with dehydration secondary to gastroenteritis, a common cause of morbidity and mortality in children worldwide. The underlying pathophysiology in this case is increased extracellular sodium concentration (hypernatremia), which is typically due to water loss exceeding sodium loss. This can occur with inadequate fluid intake, as in this child who has been unable to keep down any food or drink. Hypernatremia leads to cellular dehydration as water moves from the intracellular space (where the sodium concentration is now relatively lower) to the extracellular space.",3.0,7,,0
4ENTMQQJ,"A 15-year-old male presents after sustaining a fall while skateboarding. He has pain and swelling over the right wrist. X-ray shows a fracture through the distal radius with dorsal displacement of the distal fragment.","What type of fracture does this represent?","Galeazzi fracture","Colles fracture","Greenstick fracture","Monteggia fracture","Smith fracture",b,"A Colles fracture involves the distal radius with dorsal displacement, often caused by a fall on an outstretched hand. It is one of the most common pediatric forearm fractures.",15,19,,0
4F9DEJ3C,"A 2-year-old boy has a history of frequent eczema, recurrent ear infections, and prolonged bleeding after minor injuries. Lab tests show thrombocytopenia and elevated IgA and IgE levels. Flow cytometry reveals decreased CD43 expression on leukocytes.","What is the most likely diagnosis?","X-linked agammaglobulinemia","Wiskott-Aldrich syndrome","Job syndrome","Chronic granulomatous disease","Chediak-Higashi syndrome",b,"Wiskott-Aldrich syndrome is an X-linked disorder characterized by the triad of eczema, thrombocytopenia, and recurrent infections. It is caused by mutations in the WAS gene, affecting cytoskeleton remodeling in immune cells.",2,11,,0
4Q7RMIJV,"A term newborn develops respiratory distress shortly after birth. He was delivered via emergency C-section for fetal bradycardia. On exam, the infant has nasal flaring, intercostal retractions, and decreased breath sounds on the left. Chest X-ray shows bowel loops in the left thorax and mediastinal shift.","What is the most likely diagnosis?","Transient tachypnea of the newborn","Respiratory distress syndrome","Congenital diaphragmatic hernia","Meconium aspiration syndrome","Tracheoesophageal fistula",c,"Congenital diaphragmatic hernia causes abdominal contents to herniate into the thorax, impairing lung development and ventilation. It presents with severe respiratory distress and a scaphoid abdomen. Chest X-ray is diagnostic.",0.003,15,,0
5ANMOJ2O,"A 2-year-old girl presents with abdominal distension and a firm mass that crosses the midline. Parents also report recent episodes of jerking eye movements and unsteady gait. Urinary catecholamine levels are elevated.","What is the most likely diagnosis?","Wilms tumor",Hepatoblastoma,Rhabdomyosarcoma,Neuroblastoma,"Langerhans cell histiocytosis",d,"Neuroblastoma is a tumor of the sympathetic nervous system and commonly presents with an abdominal mass that crosses the midline. Opsoclonus-myoclonus (dancing eyes, dancing feet) is a paraneoplastic feature. Elevated urinary catecholamines help confirm the diagnosis.",2.0,17,,0
5CCJGMXF,"A 5-year-old child presents with sore throat, high fever, and muffled voice. He is drooling and sitting in a tripod position. Stridor is noted on inspiration. He is up to date on immunizations except for Hib vaccine. Vital signs show tachycardia and elevated temperature.","What is the most appropriate next step?","Send for lateral neck X-ray","Perform throat swab culture","Intubate immediately in a controlled setting","Begin high-dose oral steroids","Start inhaled epinephrine",c,"This presentation is consistent with epiglottitis, a life-threatening airway emergency. Airway protection via intubation in a controlled setting is the top priority. Imaging or labs should not delay intervention.",5.0,22,,0
05EDB971,"A 2-week-old male infant is brought to the emergency department by his parents. They report that he has been feeding poorly and has had several episodes of projectile vomiting after feeds over the past 24 hours. On examination, the infant appears dehydrated with dry mucous membranes and decreased skin turgor. His abdomen is soft and non-distended, but a small, olive-like mass can be palpated in the right upper quadrant. An ultrasound of the abdomen shows hypertrophy of the pyloric muscle. Laboratory studies show hypochloremic, hypokalemic metabolic alkalosis.","What is the next best step in management?","Administer intravenous fluids and electrolytes","Start the infant on a proton pump inhibitor","Perform an upper gastrointestinal series","Start the infant on an H2 receptor antagonist","Perform a barium enema",a,"This infant's presentation is consistent with hypertrophic pyloric stenosis, a condition that typically presents in the first few weeks of life with progressive, non-bilious, projectile vomiting immediately after feeds. The 'olive-like' mass in the right upper quadrant is the hypertrophied pylorus. The vomiting can lead to significant fluid and electrolyte imbalances, as seen in this infant. The first step in management is to correct these imbalances with intravenous fluids and electrolytes. The definitive treatment is surgical pyloromyotomy, but this should only be performed once the infant is adequately rehydrated and the electrolyte imbalances have been corrected.",0.038,15,,0
5EFV1QUG,"A 6-month-old infant presents for a routine checkup. He is up to date on his vaccines through 4 months. He has no chronic medical conditions and is growing well. The family is preparing for international travel next month.","Which of the following immunizations should he receive today?","MMR, varicella, and hepatitis A","DTaP, IPV, Hib, PCV, and rotavirus","Only influenza and hepatitis A","Tdap and meningococcal B","HPV and MMR",b,"At the 6-month visit, routine immunizations include DTaP, IPV, Hib, PCV13, and rotavirus (if within age window). MMR and varicella are not given until 12 months unless early travel requires special scheduling.",0.5,10,,0
5TII5OPG,"A 1-day-old infant is noted to have bilious vomiting and a distended abdomen. He has not passed meconium. Abdominal X-ray shows a double bubble sign with no air distally. The infant was born at 38 weeks via spontaneous vaginal delivery and is otherwise stable.","What is the most likely diagnosis?","Jejunal atresia","Duodenal atresia","Malrotation with volvulus","Hirschsprung disease","Meconium ileus",b,"Duodenal atresia classically presents with bilious emesis and a 'double bubble' sign on X-ray. It is associated with Down syndrome and requires surgical correction.",0.003,7,,0
5XOX1N06,"A 15-year-old girl presents to the clinic with complaints of dizziness, fatigue, and cold intolerance. She has lost 7 kg over the past 3 months and restricts her daily intake to fewer than 800 calories. She also exercises for 2 hours daily. She has not had a menstrual period in 4 months. Physical exam reveals dry skin, bradycardia, and orthostatic hypotension.","What is the most appropriate initial test?","Serum cortisol level","Thyroid function testing","Resting electrocardiogram","Bone age X-ray","MRI of the brain",c,"Patients with anorexia nervosa and severe caloric restriction are at risk of cardiac arrhythmias, especially bradycardia and prolonged QT interval. An EKG should be obtained early to assess for cardiac instability and guide management.",15,1,,0
6D5WN1QT,"A 1-month-old infant presents with poor feeding and irritability. The parents report that the baby feels 'floppy' and less responsive. Vital signs show bradycardia and hypotonia. The family has been giving the infant honey in a pacifier to help with sleep. Physical exam reveals weak cry, ptosis, and poor suck reflex.","What is the most likely diagnosis?","Infantile botulism","Neonatal sepsis","Congenital myasthenia gravis","Congenital hypothyroidism","Spinal muscular atrophy",a,"Infant botulism presents with hypotonia, constipation, and cranial nerve palsies. Honey is a common source of Clostridium botulinum spores. Prompt diagnosis and administration of botulism immune globulin are essential.",0.08,12,,0
6E251CAD,"A 6-year-old boy is brought to the pediatrician's office by his mother, who reports that her son has been experiencing frequent episodes of wheezing and shortness of breath, especially during physical activities. She also mentions that the boy often wakes up at night coughing. The boy's medical history is unremarkable, and he has no known allergies. On examination, the pediatrician notes that the boy's breath sounds are diminished and there are high-pitched whistling sounds during expiration. The boy's oxygen saturation is 95% on room air.","What is the underlying pathophysiology?","Inflammation and narrowing of the airways","Decreased surfactant production","Pulmonary artery hypertension","Alveolar overdistention","Interstitial lung disease",a,"The boy's symptoms of wheezing, shortness of breath, and nocturnal coughing are characteristic of asthma, a chronic inflammatory disorder of the airways. This inflammation leads to recurrent episodes of wheezing, breathlessness, chest tightness, and coughing, particularly at night or in the early morning. These symptoms are due to widespread but variable airflow obstruction within the lung that is often reversible either spontaneously or with treatment. Therefore, the underlying pathophysiology is inflammation and narrowing of the airways.",6.0,5,,0
6EP8MI6J,"A 14-year-old boy with no significant medical history is brought to the clinic for evaluation of a breast lump he noticed during a shower. The lump is located under the left areola, is firm, mobile, and non-tender. There are no overlying skin changes, and no lymphadenopathy is present. He is embarrassed and asks if this is normal or a sign of a disease.","What is the most appropriate explanation for this finding?","This is pathologic and needs biopsy","The lump is consistent with gynecomastia and is benign","The mass is likely a lipoma and should be excised","This is an abscess and requires drainage","The finding is consistent with a breast malignancy",b,"Pubertal gynecomastia is common in adolescent boys due to transient estrogen-testosterone imbalance. It typically resolves within 6 months to 2 years and does not require treatment unless persistent or symptomatic.",14,1,,0
6PIV4B35,"A 14-year-old girl with known asthma presents with worsening shortness of breath and chest tightness. She has been using her albuterol inhaler every 2 hours without relief. On exam, she is tachypneic with diminished breath sounds and accessory muscle use. Pulse oximetry is 90% on room air and PEF is 35% of baseline.","What is the most appropriate next step in management?","Increase frequency of albuterol use at home","Administer oral steroids and discharge","Begin nebulized albuterol and ipratropium with systemic corticosteroids","Order chest CT to evaluate for PE","Start antibiotics for atypical pneumonia",c,"This is a case of moderate to severe asthma exacerbation. Management includes inhaled bronchodilators (albuterol and ipratropium) and systemic corticosteroids. Patients with poor response to albuterol alone require escalation and close monitoring.",14.0,22,,0
6Z8XG9E6,"A 15-year-old male with no significant medical history is brought in for a pre-participation sports physical. During the exam, he reveals that he has never discussed sexual health with anyone and is unsure what is normal. He asks about testicular self-exams and whether he should be screened for sexually transmitted infections (STIs).","Which of the following is the most appropriate response?","Defer discussion until he is sexually active","Discuss sexual health and STI prevention now","Advise him that self-exams are unnecessary at this age","Tell him to speak to his parents about it first","Refer him to a urologist",b,"Adolescents should be given the opportunity to discuss sexual health in a confidential, age-appropriate manner. This includes counseling on testicular self-exams, safe sex practices, and STI screening when appropriate.",15,1,,0
7CQU6IC4,"<p>During a 9-month visit, parents express concern that their child has become more wary of strangers and clings to them in unfamiliar settings. The child crawls, pulls to stand, and bangs two blocks together. She says 'mama' and 'dada' non-specifically.</p>","Which developmental milestone is most consistent with this child's age?","Pincer grasp","Climbing stairs","Stranger anxiety","Walking without assistance","Speaking two-word phrases",c,"<p>Stranger anxiety typically emerges around 9 months as infants develop attachment and object permanence. It is a normal part of social development at this stage.</p>",0.75,4,,2
7D940F6B,"A 2-year-old boy is brought to the pediatrician by his parents who are concerned about his recurrent episodes of abdominal pain and diarrhea. The parents report that the diarrhea is foul-smelling and greasy. The child has not gained weight for the past 6 months despite a good appetite. The physical examination reveals a distended abdomen and palpable fecal masses. Laboratory tests show a decreased serum concentration of fat-soluble vitamins.","What is the most likely diagnosis?","Celiac disease","Crohn's disease","Cystic fibrosis","Lactose intolerance",Gastroenteritis,c,"This child's symptoms of foul-smelling, greasy stools (steatorrhea), failure to thrive, and decreased serum concentration of fat-soluble vitamins are suggestive of malabsorption. The most common cause of pancreatic insufficiency in children is cystic fibrosis. Celiac disease typically presents with failure to thrive, diarrhea, and abdominal distention, but does not cause steatorrhea. Crohn's disease is less common in this age group and does not typically present with steatorrhea. Lactose intolerance and gastroenteritis would not cause a decrease in fat-soluble vitamins.",2.0,7,,0
7DA9B3EC,"A 3-day-old newborn is brought to the pediatrician's office by his mother who is concerned about his feeding. She reports that he has been feeding poorly since birth and has vomited several times after feeding. The vomitus is described as projectile and non-bilious. The baby was born at term with no complications during pregnancy or delivery. On examination, the baby appears dehydrated with a palpable olive-shaped mass in the right upper quadrant of his abdomen.","What is the most likely diagnosis?","Gastroesophageal reflux disease","Pyloric stenosis","Duodenal atresia","Hirschsprung disease",Intussusception,b,"The clinical picture is suggestive of pyloric stenosis, which typically presents in the first few weeks of life with projectile, non-bilious vomiting after feeding, and a palpable 'olive' in the right upper quadrant. Gastroesophageal reflux disease typically does not cause projectile vomiting or a palpable mass. Duodenal atresia would present with bilious vomiting. Hirschsprung disease typically presents with constipation and failure to pass meconium. Intussusception typically presents with colicky abdominal pain and 'currant jelly' stools.",0.008,15,,0
7IJBVAVM,"A 4-year-old boy presents with limping and bone pain that has worsened over the past two weeks. He has a low-grade fever and fatigue. Physical exam reveals pallor and multiple petechiae. CBC reveals pancytopenia. X-rays show diffuse osteopenia and metaphyseal bands.","What is the next best step in management?","Bone marrow aspiration","MRI of the spine","Empiric antibiotics for osteomyelitis","Start vitamin D supplementation","NSAIDs for pain management",a,"Bone pain, pancytopenia, and systemic symptoms in a child raise concern for leukemia. Bone marrow aspiration is required to confirm the diagnosis, particularly acute lymphoblastic leukemia.",4.0,17,,0
8A79FFC2,"A 3-year-old boy is brought to the emergency department by his parents after accidentally ingesting a bottle of his grandmother's iron supplements. He appears lethargic and is complaining of abdominal pain. His skin is pale and he has vomited twice since ingestion. His heart rate is elevated and his blood pressure is slightly low. His parents report that he ingested the pills about 2 hours ago.","What is the underlying pathophysiology?","Hypovolemic shock due to blood loss","Anaphylactic reaction to the iron supplements","Iron-induced oxidative damage to the gastrointestinal tract","Hypoglycemia due to insulin surge","Acute renal failure due to nephrotoxicity",c,"Iron poisoning, as in this case, initially causes gastrointestinal symptoms such as vomiting and abdominal pain due to direct corrosive effects and the generation of reactive oxygen species. This leads to iron-induced oxidative damage to the gastrointestinal tract, which is the underlying pathophysiology in this case. The other options are not consistent with the clinical presentation and the known effects of iron overdose.",3.0,21,,0
8B5015DD,"A 7-year-old boy is admitted to the inpatient ward with a 3-day history of fever, joint pain, and rash. His mother reports that he has been very tired and has had a poor appetite. On examination, he has a salmon-pink rash on his trunk and thighs, and his knees and wrists are swollen and warm to touch. Laboratory tests reveal elevated inflammatory markers and a mild normocytic anemia. An echocardiogram shows no abnormalities.","What is the appropriate treatment?","Intravenous immunoglobulin and high-dose aspirin","Oral prednisone","Intravenous ceftriaxone","Oral amoxicillin","Intravenous acyclovir",a,"The patient's presentation is consistent with systemic juvenile idiopathic arthritis (sJIA), a form of juvenile idiopathic arthritis that is characterized by arthritis, fever, and rash. The first-line treatment for sJIA is nonsteroidal anti-inflammatory drugs (NSAIDs) and glucocorticoids. However, in severe cases, intravenous immunoglobulin and high-dose aspirin may be used. The other options are not appropriate as they are used to treat infections, which are not indicated in this case.",7.0,11,,0
8EA9C262,"A 3-year-old boy is brought to the clinic by his parents who are concerned about his recent fatigue and pallor. They report that he has been increasingly tired over the past month and has had several episodes of nosebleeds. On physical examination, the boy appears pale. His spleen is palpable 2 cm below the left costal margin. Laboratory studies show a hemoglobin level of 7 g/dL, a platelet count of 30,000/mm3, and a white blood cell count of 2,000/mm3.","What is the most likely diagnosis?","Acute lymphoblastic leukemia","Aplastic anemia","Iron deficiency anemia","Sickle cell disease",Thalassemia,b,"This child's fatigue, pallor, and nosebleeds, along with the laboratory findings of pancytopenia (anemia, thrombocytopenia, and leukopenia), are suggestive of aplastic anemia. Aplastic anemia is a condition characterized by bone marrow failure and pancytopenia. Acute lymphoblastic leukemia typically presents with isolated or combined cytopenias, but the white blood cell count can be normal or elevated, not low as in this case. Iron deficiency anemia typically presents with microcytic anemia, not pancytopenia. Sickle cell disease and thalassemia are hereditary hemoglobinopathies that typically present earlier in life and do not cause pancytopenia.",3.0,9,,0
8S413CSH,"A 2-week-old newborn is brought to the pediatrician for yellowing of the skin and eyes. The infant is breastfeeding well and has 6 wet diapers per day. On exam, the infant is alert with scleral icterus and jaundice to the lower abdomen. Total bilirubin is 14 mg/dL, with indirect bilirubin at 13.2 mg/dL. Direct Coombs test is negative. Birth history was unremarkable.","What is the most likely cause of this infant's jaundice?","Breast milk jaundice","Biliary atresia","ABO incompatibility","Neonatal sepsis",Hypothyroidism,a,"Breast milk jaundice presents in the second week of life in otherwise healthy, breastfeeding infants. It is caused by substances in breast milk that increase enterohepatic circulation. Indirect hyperbilirubinemia and normal exam findings support this diagnosis.",0.03,15,,0
8SI97M4O,"A 16-year-old girl presents to the clinic with primary amenorrhea. She has well-developed breasts and normal external genitalia. She has no history of cyclic abdominal pain. On pelvic ultrasound, a normal-appearing vagina is noted but the uterus is absent. Karyotype is 46,XX.","Which of the following is the most likely diagnosis?","Turner syndrome","Müllerian agenesis","Androgen insensitivity syndrome","Hypogonadotropic hypogonadism","Asherman syndrome",b,"Müllerian agenesis (Mayer-Rokitansky-Küster-Hauser syndrome) is characterized by normal secondary sexual characteristics and 46,XX karyotype, but absent uterus and upper vagina. Ovarian function is normal, so breast development occurs normally.",16,1,,0
8TIMJKQG,"A 17-year-old girl is brought in by her parents for evaluation of fatigue, sore throat, and recent poor academic performance. She admits to using alcohol and vaping marijuana occasionally and staying up late on school nights. She denies depression or suicidal ideation but does not want her parents to know about her substance use.","Which of the following best describes the physician's ethical obligation in this case?","Disclose the information to her parents without consent","Respect her confidentiality unless there is imminent danger","Require a urine drug screen before providing care","Involve school administration for behavioral intervention","Report to law enforcement",b,"Adolescents have the right to confidential care in most jurisdictions, especially for issues like substance use, sexual health, and mental health. Unless there is an immediate threat to life or safety, confidentiality should be respected to preserve trust in the physician-patient relationship.",17,1,,0
9LCL4VSC,"A 12-year-old boy presents with concern about his short stature. His height is at the 5th percentile, and he has not yet shown signs of puberty. His father reports that he also experienced a late growth spurt and was a 'late bloomer.' Bone age corresponds to a 10-year-old. There are no chronic medical conditions and he is growing along his growth curve.","What is the best next step in management?","Start growth hormone therapy","Order brain MRI","Reassure and monitor","Refer to endocrinology","Start testosterone therapy",c,"Constitutional delay of growth and puberty is common and benign. In the setting of consistent growth velocity, delayed bone age, and family history, reassurance and periodic monitoring are the best approach.",12,1,,0
