record_id,question
mxadol_ArGhsotxPE,"Question Details 17-year-old girl presents to the emergency department after her parents found her lying on the bathroom floor complaining of dizziness and fatigue. She is scheduled to be admitted in a matter of days to an intensive inpatient treatment center for eating disorders and admits to recent episodes of binge eating followed by self-induced vomiting. Vital signs are within normal limits, and physical examination is unremarkable. Which of the following is the most appropriate study at this time? Electrocardiogram Chest x-ray Abdominal x-ray Thyroid-stimulating hormone Upper endoscopy * Note: Questions cannot be answered from this view. Answer & Explanation Answer Electrocardiogram Explanation For a patient with an eating disorder and severe purging behavior, it electrolyte disturbances can lead to potentially dangerous arrhythmias. Purging behavior is a symptom of bulimia nervosa (BN) and the binge eating/purging subtype of anorexia nervosa (AN). Purging behaviors include self-induced vomiting or the misuse of laxatives, enemas, or diuretics, all of which cause hypokalemia, variable serum Na"" levels, and acid-base disturbances (metabolic alkalosis in the case of purging by vomiting, due to loss of hydrogen ions in the emesis). Hypokalemia causes a variety of 's very important to order an electrocardiogram (ECG), as"
mxadol_avR5KK2Nay,"Question Details Apreviously healthy 7-year-old gir! presents to the emergency department with a new perianal rash. The patient lives with her mother and her mother's boyfriend. The patient's mother states that no one else at home has a similar rash or history of genital warts. On physical examination of the perianal area, there is a painless cluster of cauliflower-shaped flesh-colored plaques; there are no vesicles, ulcerations, or erythema. Which of the following is the best course of action at this time? Consult a child abuse specialist. Recommend follow up in 4 month in clinic. Refer toa dermatologist. Prescribe salicylic acid. Order a head CT and skeletal survey. * Note: Questions cannot be answered from this view. Answer & Explanation Answer Consulta child abuse specialist. Explanation Cauliflower-shaped flesh-colored plaques are characteristic findings of genital warts (condylomata acuminata), the majority of which (> 90%) are caused by human papillomavirus (HPV) Types 6 and 11. Genital warts may also be flat, papular, or pedunculated. Sexual abuse should be strongly considered in children who develop genital warts after 2 years of age, as perinatally acquired warts typically present prior to 20 months of age. After taking a detailed history, discussion with a social worker or consultation with a child abuse specialist is warranted in this case; if abuse is suspected, the pediatrician must report to appropriate child"
mxadol_azpXXk4Rll,"Question Details 17-year-old male returns from a spring break holiday in Thailand. After 5 days, he notes a small, tender papule with surrounding erythema on the shaft of his penis. It evolves into a pustule over the next several days and becomes increasingly painful. Tender inguinal lymphadenopathy is noted on physical exam. A Gram stain of an exudate at the base of the ulcer demonstrates the following: > Which of the following is the most likely organism responsible? Treponema pallidum Chlamydia trachomatis Chlamydia pneumoniae Haemophilus ducreyi Klebsiella granulomatis * Note: Questions cannot be answered from this view. Answer & Explanation Answer Haemophilus ducreyi Explanation The patient in this scenario has chancroid disease. The organisms seen in the picture are Haemophilus ducreyi, small gram-negative rods in a chain, often described as a ""school of fish."" Chancroid is not common in the United States. when infection occurs it is usually associated with sporadic outbreaks. especially"
mxadol_b8N5DVmqbn,"Question Details 'An 18-year-old female complains that her acne has continued to worsen since beginning an oral contraceptive several months earlier. She would prefer not to discontinue the oral contraceptive but is distraught about the appearance of her face. She reports no other side effects associated with oral contraceptive use. Which of the following recommendations is most appropriate for this patient? Change to another oral contraceptive with a higher estrogenic and lower androgeniceffect. Change to a progestin/estrogen vaginal ring. Make no change in the type of oral contraceptive, but begin oral antibiotic and topical therapy for acne. Change to another oral contraceptive with a lower estrogenic and higher androgenic effect. Change to a transdermal contraceptive patch. * Note: Questions cannot be answered from this view. Answer & Explanation Answer Change to another oral contraceptive with a higher estrogenic and lower androgeni Explanation & Oral contraceptives that have a low androgenic effect are less likely to cause acne. The balance between estrogens and progestins determines both the overall effect on the endometrium and the side effect profile of an oral contraceptive. In general, a teenager with acne will benefit from an oral contraceptive with high estrogenic and low androgenic activity. The inhibitory effect of estrogen on acne appears to be due to estrogen-mediated suppression of sebum production. Estrogen also acts to suppress ovarian androgen production. Most progestins in oral contraceptives have androgenic properties. Newer progestins are generally less androgenic and have fewer side effects; some even have antiandrogenic properties. However, some of the later generation"
mxadol_B20TqIIcVR,"Question Details Which of the following would be an indication for hospitalization for pelvic inflammatory disease (PID)? Confirmed diagnosis of PID Had one episode of nausea earlier in the day Positive urine pregnancy test No improvement after 4 hours of oral therapy Appendicitis excluded as an etiology * Note: Questions cannot be answered from this view. Answer & Explanation Answer Positive urine pregnancy test Explanation Adolescents require hospitalization for PID if the patient is pregnant. Other reasons include: a surgical emergency that cannot be excluded, suspected pelvic/tuboovarian abscess, nausea/vomiting that precludes oral therapy, or failure to respond to oral agents after 24-48 hours. Not all confirmed cases of PID require hospitalization. A single episode of nausea or lack of improvement 4 hours after oral medications is not an indication of failure of oral therapy and [ould not require hospitalization. The absence of appendicitis is not an indication for hospitalization in patients with PID. Testing Point >"
mxadol_c8t5n13j7s,"Question Details A.16-year-old female presents with a history of primary amenorrhea. She states that she has never been sexually active. On "" physical examination, her breast development is at a sexual maturity rating (SMR) of 5. The external genitalia (vulva, labia majora, labia minora, and clitoris) are normal. A speculum exam is attempted but not technically possible. Rectoabdominal examination reveals absence of the vagina. Karyotype studies show a 46,XX pattern. Additional evaluation of this patient is most likely to reveal which of the following? Sparse pubic and axillary hair Normal luteinizing hormone and follicle-stimulating hormone levels High testosterone levels Poor development of secondary sexual characteristics Anosmia * Note: Questions cannot be answered from this view. Answer & Explanation Answer Normal luteinizing hormone and follicle-stimulating hormone levels Explanation This patient has clinical findings on genital examination consistent with vaginal agenesis (aka millerian agenesis or Mayer- Rokitansky-Kiister-Hauser [MRKH] syndrome), characterized by congenital absence of the vagina with absent or variable development of the uterus due to agenesis or hypoplasia of the miillerian duct system. The external genitalia (vulva, labia majora, labia minora, and clitoris) are normal. Patients usually do not have menstrual periods due to the absent uterus. Often, the first noticeable sign of MRKH syndrome is that menstruation does not begin by age 15 (primary amenorrhea). Patients with MRKH Bd"
mxadol_CA2VHKjFwU,"Question Details A.17-year-old female presents with a 4-day history of vaginal discharge and dysuria, She has recently had 2 sexual partners who have been inconsistent with their use of condoms. Findings on physical examination include punctate petechial lesions overlying an erythematous vaginal mucosa on the cervix. Which of the following is most likely to be identified during additional evaluation of this patient? Vaginal epithelial cells covered with adherent bacteria on wet mount Multiple motile trichomonads on wet mount Scrapings from cervical petechial lesions that demonstrate multinucleated giant cells with viral inclusions Sheets of leukocytes, many of which contain gram-negative intracellular diplococci on Gram stain of vaginal discharge Pseudohyphae and budding yeast on wet mount * Note: Questions cannot be answered from this view. Answer & Explanation Answer Multiple motile trichomonads on wet mount Explanation Punctate petechial lesions of the vaginal wall and cervix (""strawberry cervix"") are consistent with trichomoniasis, caused by the protozoan Trichomonas vaginalis. Diagnosis is confirmed by identification of motile trichomonads on wet mount of vaginal secretions. Newer and more sensitive and specific testing for trichomoniasis is now available through rapid detection tests of vaginal secretions, polymerase chain reaction, or nucleic acid amplification testing using endocervical, vaginal, or male/female urine specimens. Same affartad natiante ara aevmntamatic hit athare may ramniain af nenfiice frvilcemalline watany ar vallnwich-oravwasinal >"
mxadol_ckpQjQ2jmp,"Question Details The parent of a 13-year-old girl, who is well known to you, comes into your office expressing concerns about the girl's 'appearance. The patient has always enjoyed wearing skirts and dresses, as well as engaging in activities such as dressing up and playing with dolls. The past few mornings, she has come out of her room dressed for school in a shirt and tie and with her hair pulled back to look short. The parent is not sure how to handle this. What do you recommend the parent do? 'A. Support the patient in appearing and dressing as she wishes, as long as it is appropriate for her age, but inform the parent that this will ikely strengthen her identification as a boy. Have an open discussion with the patient; allow her to dress and appear as she wishes, as long as it is appropriate for her age. Protect the patient by explaining that dressing and appearing as a girl will help prevent her from being teased and bullied at school. Explain to the patient that dressing and appearing as a girl will help prevent her from getting confused about her gender identity. © Continue as if nothing out of the ordinary has occurred and see what happens. * Note: Questions cannot be answered from this view. Answer 8 Have an open discussion with the patient; allow her to dress and appear as she wishes, as long as it is appropriate for her age. Explanation Itis normal for a child or adolescent to experiment with gender expression; trying to influence this one way or the other does not >"
mxadol_CLawjGbiF0,"Question Details A.17-year-old female is transported to the emergency department after her sister found her lying unresponsive on the kitchen "" floor. She has a history of an eating disorder and has recently relapsed following a brief period of time when she was able to improve her diet and avoid self-induced vomiting. In the emergency department, she is alert and states that she ""just passed out for a second."" During evaluation, an ECG displays depression of the ST segments, flattened T waves, and prominent U waves. Which of the following laboratory findings is most likely to be found on further evaluation? Serum K* of 2.1 mmol/L Serum creatinine of 2.1 mg/dL Total serum Ca""* of 12.2 mg/dL Serum Mg"" of 3.0 mg/dL Serum Na* of 128 mmol/L * Note: Questions cannot be answered from this view. Answer & Explanation Answer Serum K* of 2.1 mmol/L. Explanation The clinical scenario and ECG findings are classic for an arrhythmia suffered as a result of hypokalemia. The heart and skeletal muscle are adversely affected by low levels of K~. Arrhythmias may result in syncopal episodes and can be life threatening. Muscle weakness, severe cramping, and re: tory suppression are additional possible complications. Serum K* levels < 2.5 mmol/L may lead to respiratory failure due to paralysis of the diaphragm."
mxadol_DcvfxahBvU,"Question Details An 18-year-old female college freshman presents to the student health center seeking advice and counsel after her older sister was diagnosed with human papillomavirus (HPV) infection. She reports that she has had 3 lifetime male sexual partners. Which of the following differences between adolescents and young adults in their early 20s is believed to account for the high incidence of new HPV infections among sexually active adolescents? Elevated vaginal pH Higher viscosity of cervical mucus Lower concentration of lactobacilli in the vaginal flora Endometrial hyperplasia Metaplasia within the cervical transformation zone * Note: Questions cannot be answered from this view. Answer & Explanation Answer . b Metaplasia within the cervical transformation zone Explanation Nearly all genital exposure to HPV is the result of microscopic cervical tears acquired during sexual intercourse. The cervix is infected in the transformation zone, defined by the area where columnar epithelium transforms into squamous epithelium. This process, termed metaplasia, is very active during puberty and usually is completed by the early 20s. 'The transformation zone is highly susceptible to HPV and likely accounts for the high incidence of new infections in the adolescent age group. However, the large majority (90%) of infections are transient and clear within 2 years regardless of HPV type. (Types 16 and 48 arcaunt fartin ta 7M of all cervical eancare )"
mxadol_drNg9PwwFt,"Question Details An otherwise healthy, sexually active, 17-year-old female presents with a 10-day history of vaginal discharge, which is confirmed 'on speculum examination. Findings on microscopic examination of a saline wet prep include a majority of vaginal epithelial cells that appear stippled with adherent bacteria. Adding potassium hydroxide to the vaginal fluid produces a fishy odor. Which of the following is most likely associated with these clinical and microscopic findings? Athick, cheesy, white discharge and a hyperemic vulva Multiple speckled petechial lesions covering the cervix Avaginal pH > 4.5 Motile trichomonads on saline wet prep Athick, mucopurulent cervical discharge * Note: Questions cannot be answered from this view. Answer & Explanation Answer A vaginal pH > 4.5 Explanation 'The patient has clinical symptoms and microscopic wet prep examination findings consistent with bacterial vaginosis (BV). BVis a noninflammatory condition associated with an increase in vaginal pH (> 4.5), which allows for an overgrowth of multiple anaerobes and a decrease in the number of normally dominant protective hydrogen-producing lactobacilli. Although somet asymptomatic, the diagnosis is established when at least 3 of 4 criteria are met: 1. Thin, whitish vaginal discharge that typically smoothly coats the vaginal walls"
mxadol_DWiWgVy78N,"Question Details An 18-year-old woman presents to your clinic reporting that she is concerned she might become pregnant following consensual unprotected intercourse earlier in the day. She is requesting emergency contraception. In which one of the following circumstances is an intrauterine device (IUD), rather than oral medication, likely to be a more effective method for emergency contraception? History of obesity (current weight 195 pounds) History of smoking 1 pack of cigarettes per day History of moderate persistent asthma History of severe dysmenorrhea History of ovarian cysts * Note: Questions cannot be answered from this view. Answer & Explanation Answer History of obesity (current weight 195 pounds) Explanation & The most effective options for emergency contraception are two specific IUDs: the copper 380 mm? IUD and the levonorgestrel 52mg IUD. Both IUDs are effective in preventing pregnancy for up to 5 days (and perhaps more) after unprotected sexual intercourse. While body weight does not impact the efficacy of |UD emergency contraception, efficacy appears to decrease with increasing BMI with levonorgestrel and, perhaps to a lesser extent, 'istal acetate, which is the more effective oral emergency contraception method and is effective in preventing pregnancy up to 5 days after unprotected intercourse. Ulipristal acetate requires a prescription. Levonorgestrel, available over the counter and online without age restriction, is effective up to 3 (and"
mxadol_DYHyHE88Y0,"Question Details You are preparing for a well exam this afternoon of female with a complex medical history. She is 18 years of age and has been stable over the past several years. She sees multiple pediatric subspecialists, including gastroenterology, neurology, cardiology, and nephrology. She is preparing to graduate high school at the end of the school year and start a nursing program in the fall. You started transition planning with her when she was 15 years of age. She has been working to achieve autonomy in her health needs since that time. What is the next best step in transitioning this patient to adult care? Identify the healthcare professional who will coordinate transition of her subspecialty care to adult healthcare providers. Assess her transition readiness with a standardized tool. Ensure her guardian is present to improve care transition. Discuss setting up a medical power of attorney to allow her parents to make medical decisions now that she is an adult. Send her transition summary to an adult primary care provider because this will be her last visit. * Not Juestions cannot be answered from this view. Answer & Explanation Answer Assess her transition readiness with a standardized tool. Explanation At every visit starting at age 14-16 years , and continuing until the youth has transferred to an adult health care provider (typically by 18-22 years of age), i important to assess a patient's readiness for trat ion with a standardized transition assessment tool. There are several varieties (e.g., TRxANSITION, STARx), depending on the patient's chronic illnesses."
mxadol_e4CPWUgLZc,"Question Details Several hours after completing a half-marathon a116-year-old female presents to the emergency department following the sudden onset of left-sided lower abdominal and groin pain. She denies fever but does complain of nausea and 2 episodes of vomiting. She describes the pain as sharp and stabbing. It has not improved with acetaminophen. She is otherwise healthy and not taking any medications. She is afebrile with a heart rate of 95 bpm and a blood pressure of 119/77 mm Hg. Physical examination is remarkable for a tender, palpable mass in the left lower quadrant, but no rebound tenderness or guarding. Laboratory evaluation is normal, including a negative quantitative hCG and a normal complete blood count. Abdominal x-ray is normal and the results of a CT scan are pending. Which of the following is the most likely cause of her current symptoms? Ectopic pregnancy Appendicitis Ovarian torsion Meckel diverticulum Constipation * Note: Questions cannot be answered from this view. Answer & Explanation Answer Ovarian torsion Explanation This patient has ovarian torsion, which is characterized by the complete or partial rotation of the ovary on its ligamentous supports. Rapid diagnosis important to preserve ovarian function. Ovarian torsion is one of the most common gynecologic >"
mxadol_EMR6CH5PIq,"Question Details A4-year-old child is brought to your office by both parents for concerns over the child's behavior and their disagreement about how to handle it. The patient was determined to be male at birth based on the appearance of the patient's genitalia and prenatal tests, which showed that the patient carries XY chromosomes. As the patient has developed and has become more vocal, the patient often states ""I am a girl"" and insists on wearing dresses 'like a girl"" The mother is fine with this behavior; the father is distressed and would like further testing done to determine what the problem may be so it may be addressed and corrected. What is your recommendation? Send the patient to the lab for chromosome testing to confirm the results of the prenatal testing. Send the patient to the lab to check the patient's hormone levels. Allow the patient to wear what the patient wants and announce their gender as the patient prefers; refer the parents toa counselor specializing in gender diversity. Explain to the parents that since the patient is only 4 years of age, they have control over what the patient wears; they should dress the patient as a boy and reinforce that the patient is a boy. Refer the patient to endocrinology to reevaluate the patient's sex determination and to ascertain if further testingis necessary. * Note: Juestions cannot be answered from this view. Answer & Explanation b Allow the patient to wear what the patient wants and announce their gender as the patient prefers; refer the parents toa Answer counselor specializing in gender diversity."
mxadol_fb8HIb7yaV,"Question Details An 18-year-old college freshman presents to the student health center convinced that she has ""a sexually transmitted infection."" Before she agrees to describe her symptoms any further, she asks if her partner will also require treatment. She fears that he will end the relationship if he is informed of her condition. In which of the following conditions does the woman alone require treatment? Bacterial vaginosis Trichomoniasis Neisseria gonorrhoeae Syphilis Chlamydia trachomatis * Note: Questions cannot be answered from this view. Answer & Explanation Answer Bacterial vaginosis Explanation It is not necessary to treat male sexual partners of women with bacterial vaginosis (BV) because treatment does not influence the 'woman's response to therapy or risk of relapse. BVis the most common cause of abnormal vaginal discharge and odor in postpubertal females, accounting for 40%-50% of all cases. Symptoms follow the replacement of normal vaginal flora, especially lactobacilli, by Gardnerella vaginalis and other predominantly anaerobic organisms. Lactobacilli are important in preventing overgrowth of the anaerobes normally present in the vaginal flara:in the aheanca nf lartaharilli nH ricac fallawad hy avararnuith af vasinal anaarnhac Mara camman in famalac with"
mxadol_FeHJsJIKtp,"Question Details Which of the following adolescents would be considered an emancipated minor? Amarried adolescent who is < 18 years of age Achild of any age living away from both biological parents Ahigh school graduate regardless of age at the time of graduation Ahigh school graduate who is > 17 years of age Any person whois > 17 years of age * Note: Questions cannot be answered from this view. Answer & Explanation Answer Amarried adolescent who is < 18 years of age Explanation Minors (people < 18 years of age) who are married (or were married at one time), are on active duty status in the military, are experiencing homelessness, have obtained a court order, or are living separately from their parents or legal guardians and independently managing their own financial affairs are generally considered emancipated-although eligibility laws can vary by state. In some states, being a parent also makes one an emancipated minor. Most states permit minors with children to consent to medical care for their child. Most states define the ""age of maturity"" after which all adolescents are emancipated, as 18 years of age. Emancipation allows the adolescent to enter into legally binding contracts and establish a personal r lence. 'The mature minor (typically defined by > 14 years of age) is able to understand risks and benefits of a specific medical treatment or >"
mxadol_fF6WNASpMP,"Question Details 'An 18-year-old woman presents for a routine physical exam prior to entering college. She reports that she has received a full academic scholarship and also plans to try out for the soccer team. She is dressed in multiple layers of clothing and is noted to weigh 105 Ib. During a comprehensive history and review of systems, she becomes immediately defensive. Anorexia nervosa (AN) is suspected. Which of the following signs or symptoms is included in the DSM-5 diagnostic criteria for the suspected disorder? Disturbance in the way one's body weight or shape is experienced Presence of lanugo and yellow pigmentation of the skin (xanthoderma) on physical examination Heart rate < 55 bpm Average caloric intake of < 1,600 calories/day Evidence of osteopenia on bone density examination * Note: Questions cannot be answered from this view. Answer & Explanation Answer Disturbance in the way one's body weight or shape is experienced Explana Disturbance in the way one's body weight or shape is experienced is 1 of the 3 DSM-5 criteria for an AN diagnosis. These patients have undue influence of body shape and weight on self-evaluat low body weight. In, or have a persistent lack of recognition of the seriousness of 'To be diagnosed with AN, the patient must also restrict energy intake leading to significantly low body weight"" (in context of age, >"
